procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3973436  57820 2555752    0    0  4536   186  713    2  2  1 97  0  0  0
 0  0      0 3965212  57836 2554372    0    0     4   112 1326 1734  2  1 97  0  0  0
 0  0      0 3966840  57836 2554352    0    0     0     0 1155 1603  1  1 97  0  0  0
 1  0      0 3967572  57836 2554352    0    0     0     0 1167 1486  3  3 95  0  0  0
 0  0      0 3967572  57836 2554352    0    0     0   220  292  328  1  1 99  0  0  0
 0  0      0 3967572  57836 2554352    0    0     0     0  309  341  1  1 99  0  0  0
 2  0      0 3967572  57844 2554344    0    0     0    32 1017 1257  3  3 94  0  0  0
 0  0      0 3967572  57844 2554336    0    0     0     0 1245 1630  2  3 95  0  0  0
 0  0      0 3967572  57844 2554328    0    0     0     0  848 1096  1  1 98  0  0  0
 0  0      0 3967572  57844 2554332    0    0     0     0  825 1032  2  1 96  0  0  0
