procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3972304  57756 2555112    0    0  4953   202  712    2  2  1 97  0  0  0
 2  0      0 3968612  57772 2555108    0    0     0   112  763  880  2  1 97  0  0  0
 0  0      0 3968284  57772 2555204    0    0     0     0  738 1000  1  1 98  0  0  0
 1  0      0 3968768  57772 2555204    0    0     0     0 1023 1215  3  3 94  0  0  0
 0  0      0 3968768  57772 2555204    0    0     0     0  212  239  0  0 99  0  0  0
 1  0      0 3968768  57772 2555204    0    0     0     0  177  174  0  0 100  0  0  0
 0  0      0 3968768  57772 2555204    0    0     0     0  124  131  0  0 100  0  0  0
 0  0      0 3968768  57780 2555196    0    0     0    20  223  212  1  0 99  0  0  0
 0  0      0 3968768  57780 2555204    0    0     0     0  228  286  0  0 99  0  0  0
 0  0      0 3968768  57780 2555204    0    0     0     0  133  129  0  0 100  0  0  0
